Product Name,Barcode,Common Name,Packaging,Brands,Categories,Countries where sold,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Packaging Impact,Nutrient Levels,Ingredients,Additives,Ingredient Analysis,fat,saturated-fat,sugars,salt,Ingredient Classifications,Harmful Count,Moderate Count,Safe Count,Dietary Flags,Health Impact Score,Health Classification
sting - 1,8902080000227.0,Unknown,Unknown,Sting,"beverages, energy drinks, energy drink with sugar",India,5.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (6.8%); Salt in low quantity (0.103%),"CARBONATED WATER, SUGAR, ACIDITY REGULATORS 330, 331, SEQUESTERANTS 4521, 385,TAURINE, CAFFEINE 003, PRESERVATIVES 211, 202, SWEETENERS 955, 950, INOSITOL, VITAMINS PREMIX CONTAINS PERMITTED SYNTHETIC FOOD COLOUR 129 AND ADDED FLAVOUR NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES",E129 - Allura red; E202 - Potassium sorbate; E211 - Sodium benzoate; E330 - Citric acid; E331 - Sodium citrates; E385 - Calcium disodium ethylenediaminetetraacetate; E452 - Polyphosphates; E950 - Acesulfame k; E955 - Sucralose,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.0,0.0,0.10864745011086474,1.7766497461928935e-05,"{'safe': ['carbonated water', 'acidity regulators 330', '331', 'sequesterants 4521', '385,taurine', 'caffeine 003', 'preservatives 211', '202', 'sweeteners 955', '950', 'inositol', 'vitamins premix contains permitted synthetic food colour 129 and added flavour natural and nature identical flavouring substances'], 'moderate': ['sugar'], 'harmful': []}",0,1,12,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",2.1891334783391674,Green
pepsi black - 500ml,8902080001286.0,Unknown,Unknown,Pepsi,"beverages, artificially sweetened beverages, sodas, diet beverages, colas, diet sodas, diet cola soft drink, punjabi",India,5.0,Average nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0.015%),"CARBONATED WATER, COLOUR 150d, ACIDITY REGULATORS 338,330, SWEETENERS 955, 950, PRESERVATIVE 211, CAFFEINE 13mg100g, FLAVOUR NATURAL FLAVOURING SUBSTANCES, STABILIZER 436",E150d - Sulphite ammonia caramel; E211 - Sodium benzoate; E330 - Citric acid; E338 - Phosphoric acid; E436 - Polyoxyethylene sorbitan tristearate; E950 - Acesulfame k; E955 - Sucralose,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.0065634674922600625,0.051266666666666676,0.0212860310421286,0.0006903553299492386,"{'safe': ['carbonated water', 'colour 150d', 'acidity regulators 338,330', 'sweeteners 955', '950', 'preservative 211', 'caffeine 13mg100g', 'flavour natural flavouring substances', 'stabilizer 436'], 'moderate': [], 'harmful': []}",0,0,9,"{'gluten-free': [], 'vegan': [], 'low sugar': []}",2.1920193479468995,Green
snickers - mars - 22g,8906002482481.0,Unknown,Unknown,Mars,"snacks, sweet snacks, cocoa and its products, confectioneries, chocolate candies, bars-covered-with-chocolate",India,2.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in high quantity (23.3%); Saturated fat in high quantity (10.2%); Sugars in high quantity (55%); Salt in moderate quantity (0.573%),"Milk chocolate coating 38 Sugar, Milk solids, Cocoa butter, Cocoa solids, Edible vegetable fats 5 Sal fat, Palm oil, Dextrose, Emulsifier INS 322 Centre filling 62 Liquid glucose, Peanuts 16, Sugar, Hydrogenated vegetable oil Palm oil, Milk solids, lodized salt, Cocoa butter, Cocoa solids Edible vegetable fats 5 Sal fat, Palm oil, Dextrose, Emulsifier INS 322 CONTAINS VEGETABLE FAT IN ADDITION TO COCOA BUTTER Contains Peanuts, Milk, Soy May contain Tree Nuts",E322 - Lecithins,Palm oil; Non-vegan; Vegetarian,0.008947368421052631,0.11666666666666667,0.6352549889135254,0.00020101522842639596,"{'safe': ['milk solids', 'cocoa butter', 'cocoa solids', 'edible vegetable fats 5 sal fat', 'palm oil', 'dextrose', 'emulsifier ins 322 centre filling 62 liquid glucose', 'peanuts 16', 'hydrogenated vegetable oil palm oil', 'milk solids', 'cocoa butter', 'cocoa solids edible vegetable fats 5 sal fat', 'palm oil', 'dextrose', 'emulsifier ins 322 contains vegetable fat in addition to cocoa butter contains peanuts', 'milk', 'soy may contain tree nuts'], 'moderate': ['milk chocolate coating 38 sugar', 'sugar', 'lodized salt'], 'harmful': []}",0,3,17,"{'gluten-free': [], 'vegan': ['milk chocolate coating 38 sugar', 'milk solids', 'cocoa butter', 'milk solids', 'cocoa butter', 'emulsifier ins 322 contains vegetable fat in addition to cocoa butter contains peanuts', 'milk'], 'low sugar': ['milk chocolate coating 38 sugar', 'sugar']}",1.223892996077033,Yellow
britannia bourbon 100g,8901063139336.0,Unknown,Unknown,Britannia,"snacks, sweet snacks, biscuits and cakes, biscuits",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,3.0,,Fat in high quantity (20.3%); Saturated fat in high quantity (10.1%); Sugars in high quantity (38.3%); Salt in low quantity (0.119%),"REFINED WHEAT FLOUR MAIDA, SUGAR 33, REFINED PALM OIL, EDIBLE MAIZE STARCH, COLOURS 150a, 150d, 122, 110,133102, COCOA SOLIDS 27, MILK SOLIDS, RAISING AGENTS 500ii503ii, NATURE IDENTICALARTIFICIAL VANILLA, CHOCOLATE MILKMILKY COCOA SUBSTANCES, FLAVOURING EMULSIFIERS 471  3221, MILK CHOCOLATE 01 EMULSIFIER 3221 AND IODISED SALT Numbers in brackets as per International Numbering System CONTAINS WHEAT, MILK AND SOYA",E102 - Tartrazine; E110 - Sunset yellow FCF; E122 - Azorubine; E150a - Plain caramel; E150d - Sulphite ammonia caramel; E322 - Lecithins; E500 - Sodium carbonates; E503 - Ammonium carbonates,Palm oil; Non-vegan; Vegetarian status unknown,0.01238390092879257,0.10666666666666667,0.4101995565410199,6.192893401015229e-06,"{'safe': ['refined wheat flour maida', 'refined palm oil', 'edible maize starch', 'colours 150a', '150d', '122', '110,133102', 'cocoa solids 27', 'milk solids', 'raising agents 500ii503ii', 'nature identicalartificial vanilla', 'chocolate milkmilky cocoa substances', 'flavouring emulsifiers 471  3221', 'milk and soya'], 'moderate': ['sugar 33', 'milk chocolate 01 emulsifier 3221 and iodised salt numbers in brackets as per international numbering system contains wheat'], 'harmful': []}",0,2,14,"{'gluten-free': ['refined wheat flour maida', 'milk chocolate 01 emulsifier 3221 and iodised salt numbers in brackets as per international numbering system contains wheat'], 'vegan': ['milk solids', 'chocolate milkmilky cocoa substances', 'milk chocolate 01 emulsifier 3221 and iodised salt numbers in brackets as per international numbering system contains wheat', 'milk and soya'], 'low sugar': ['sugar 33']}",1.5470743682970118,Yellow
malkist cheese flavoured crunchy layered cracker biscuits - mayora - 144g,8996001312506.0,Unknown,Unknown,Mayora,"snacks, salty snacks, sweet snacks, appetizers, biscuits and cakes, biscuits, crackers, cream biscuit",India,1.0,Bad nutritional quality,4.0,Ultra processed foods,4.0,,Fat in high quantity (22.8%); Saturated fat in high quantity (15.3%); Sugars in high quantity (32.3%); Salt in moderate quantity (1.36%),"Refined Wheat Flour Edible Vegetable Oil Palmolein Sugar 158, Whey Powder, Glucose Syrup, Milk Solids 167SMP, Cheese Powder Cheese, Maltodextrin162, Tapioca Starch, Leavening Agent E503ii, E500ii, Edible Common Salt, Bakers Yeast, Malt Extract 042, Butter, Artificial Flavouring Substance Cheese, Emulsifier Soy Lecithin E322i, Vitamin Premix Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Cyanocobalamin, Permitted Synthetic Food Colour E102, E110",E102 - Tartrazine; E110 - Sunset yellow FCF; E322 - Lecithins; E322i - Lecithin; E500 - Sodium carbonates; E500ii - Sodium hydrogen carbonate; E503 - Ammonium carbonates; E503ii - Ammonium hydrogen carbonate,Palm oil; Non-vegan; Vegetarian,0.0,0.0,0.13636363636363635,1.0152284263959392e-05,"{'safe': ['whey powder', 'glucose syrup', 'milk solids 167smp', 'cheese powder cheese', 'maltodextrin162', 'tapioca starch', 'leavening agent e503ii', 'bakers yeast', 'malt extract 042', 'butter', 'artificial flavouring substance cheese', 'vitamin premix thiamine mononitrate', 'riboflavin', 'pyridoxine hydrochloride', 'cyanocobalamin'], 'moderate': ['refined wheat flour edible vegetable oil palmolein sugar 158', 'e500ii', 'edible common salt', 'emulsifier soy lecithin e322i'], 'harmful': ['permitted synthetic food colour e102', 'e110']}",2,4,15,"{'gluten-free': ['refined wheat flour edible vegetable oil palmolein sugar 158', 'maltodextrin162', 'malt extract 042'], 'vegan': ['whey powder', 'milk solids 167smp', 'butter'], 'low sugar': ['refined wheat flour edible vegetable oil palmolein sugar 158', 'glucose syrup']}",0.9196959544685434,Red
bourbon - britannia - 60g,8901063139374.0,Unknown,Unknown,Britannia,"snacks, sweet snacks, biscuits and cakes, biscuits",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,3.0,,Fat in high quantity (20.3%); Saturated fat in high quantity (10.1%); Sugars in high quantity (37%); Salt in low quantity (0.297%),"EDIBLE MAIZI CH, 122, 110, 13  102, COCOA SOLIDS 27, MILK SOUDS, RAISING AGENTS 500  5031 NATURE IDENTICAL  ARTIFICIAL VANILU CHOCOLATE MILK  MILKY COCOA FLAVOUING SUBSTANCES, EMULSIFIERS 471  3221, MK CHOCOLATE 01 EMULSIFIER 3221 AD IODSED SALT",E322 - Lecithins; E500 - Sodium carbonates; E503 - Ammonium carbonates,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.0,,0.1441241685144124,0.0005076142131979696,"{'safe': ['edible maizi ch', '122', '110', '13  102', 'cocoa solids 27', 'milk souds', 'raising agents 500  5031 nature identical  artificial vanilu chocolate milk  milky cocoa flavouing substances', 'emulsifiers 471  3221'], 'moderate': ['mk chocolate 01 emulsifier 3221 ad iodsed salt'], 'harmful': []}",0,1,8,"{'gluten-free': [], 'vegan': ['milk souds', 'raising agents 500  5031 nature identical  artificial vanilu chocolate milk  milky cocoa flavouing substances'], 'low sugar': []}",1.5807157623029853,Yellow
kurkure masala munch 20rs - 78gm,8901491100519.0,Unknown,Plastic,Kurkure,"snacks, salty snacks","France, India, Nepal, Spain",3.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in high quantity (34.6%); Saturated fat in high quantity (15.6%); Sugars in low quantity (1.4%); Salt in high quantity (2.23%),"Rice Meal 427, Edible Vegetable Oil Palmolein Oil, Corn Meal 197, Spice and condiments onion powder, red chilli powder, amchur powder, coriander seed powder, garlic flakes and powder, ginger powder, black pepper powder, turmeric powder, spice extract, fenugreek, Gram Meal 33, salt, sugar, tomato powder 01, citric acid 330, Dextrose, edible starch",E330 - Citric acid,Palm oil; Vegan status unknown; Vegetarian,0.009907120743034056,0.017333333333333336,0.031042128603104208,0.0006598984771573605,"{'safe': ['rice meal 427', 'edible vegetable oil palmolein oil', 'corn meal 197', 'spice and condiments onion powder', 'red chilli powder', 'amchur powder', 'coriander seed powder', 'garlic flakes and powder', 'ginger powder', 'black pepper powder', 'turmeric powder', 'spice extract', 'fenugreek', 'gram meal 33', 'tomato powder 01', 'dextrose', 'edible starch'], 'moderate': ['salt', 'sugar', 'citric acid 330'], 'harmful': []}",0,3,17,"{'gluten-free': [], 'vegan': [], 'low sugar': ['sugar']}",1.5941057518843371,Yellow
coca cola zero sugar 300ml - 16,8901764111259.0,Unknown,Unknown,Coca-Cola,"beverages and beverages preparations, beverages, artificially sweetened beverages, sodas, diet beverages, colas, diet sodas, diet cola soft drink",India,5.0,Average nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0.0075%),"CARBONATED WATER, ACIDITY REGULATORS 338, 331, SWEETENERS 955, 950, PRESERVATIVE 211, CAFFEINE 92 mg100 g, COLOUR 150d, FLAVOURS NATURAL FLAVOURING SUBSTANCES",E100 - Curcumin; E150d - Sulphite ammonia caramel; E211 - Sodium benzoate; E331 - Sodium citrates; E338 - Phosphoric acid; E950 - Acesulfame k; E955 - Sucralose,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown,0.006811145510835914,0.07333333333333333,0.24390243902439024,0.12944162436548223,"{'safe': ['carbonated water', 'acidity regulators 338', '331', 'sweeteners 955', '950', 'preservative 211', 'caffeine 92 mg100 g', 'colour 150d', 'flavours natural flavouring substances'], 'moderate': [], 'harmful': []}",0,0,9,"{'gluten-free': [], 'vegan': [], 'low sugar': []}",2.154651145776596,Green
munch - nestle - 8.9g,89009802.0,Unknown,Unknown,Nestle,"snacks, salty snacks, sweet snacks, appetizers, cocoa and its products, chocolates, crackers",India,3.0,Bad nutritional quality,4.0,Ultra processed foods,4.0,,Fat in high quantity (21.3%); Saturated fat in high quantity (20.8%); Sugars in high quantity (33%); Salt in low quantity (0.236%),"Sugar, Refined Wheat flour Maida, Hydrogenated vegetable fats contain sesame oil, Milk solids, Edible vegetable fats, Cocoa solids 38, Emulsifier Soya lecithin, Raising agent 500 ii, Yeast, Flour treatment agents 516 and 1101i and lodized salt CONTAINS ADDED FLAVOUR ARTIFICIAL VANILLA FLAVOURING SUBSTANCES MAY CONTAIN PEANUTS MAHA CRUNCH ilicious",E1101 - Protease; E322 - Lecithins; E322i - Lecithin; E500 - Sodium carbonates,May contain palm oil; Non-vegan; Vegetarian status unknown,0.00606811145510836,0.06466666666666666,0.43015521064301543,0.0005329949238578681,"{'safe': ['refined wheat flour maida', 'hydrogenated vegetable fats contain sesame oil', 'milk solids', 'edible vegetable fats', 'cocoa solids 38', 'raising agent 500 ii', 'yeast'], 'moderate': ['sugar', 'emulsifier soya lecithin', 'flour treatment agents 516 and 1101i and lodized salt contains added flavour artificial vanilla flavouring substances may contain peanuts maha crunch ilicious'], 'harmful': []}",0,3,7,"{'gluten-free': ['refined wheat flour maida'], 'vegan': ['milk solids'], 'low sugar': ['sugar']}",1.5498577016311352,Yellow
coca cola soft drink 750ml,3948764012273.0,Coca cola drink,Unknown,Coca cola,"beverages and beverages preparations, beverages, sodas, colas, cola with sugar and artificial sweetener, sweetened beverages",India,4.0,Bad nutritional quality,4.0,Ultra processed foods,0.0,,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (10.6%); Salt in low quantity (0.0213%),"Carbonated water ,Sugar, Acidity Regulator 338, Caffeine 87 mg100g, Colour 150d, Flavours Natural Flavoring substances",E150d - Sulphite ammonia caramel; E338 - Phosphoric acid,Palm oil content unknown; Vegan status unknown; Vegetarian,,,0.0,5.076142131979696e-05,"{'safe': ['acidity regulator 338', 'caffeine 87 mg100g', 'colour 150d', 'flavours natural flavoring substances'], 'moderate': ['carbonated water ,sugar'], 'harmful': []}",0,1,4,"{'gluten-free': [], 'vegan': [], 'low sugar': ['carbonated water ,sugar']}",1.899989847715736,Yellow
