Product Name,Barcode,Common Name,Brands,Categories,Nutri-Score,Nutri-Score Quality,NOVA Group,Food Processing,Eco-Score,Nutrient Levels,Ingredients,Additives,Ingredient Analysis
Kinley Mineral Water 1ltr - 6,8901764082405.0,Water Bottle,Kinley,"Beverages, Waters",Nutri-Score B,Good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0.00025%),"treated water, salts of sodium and magnesium",,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Snickers - Mars - 22g,8906002482481.0,Unknown,Mars,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Bars-covered-with-chocolate",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in high quantity (23.3%); Saturated fat in high quantity (10.2%); Sugars in high quantity (55%); Salt in moderate quantity (0.573%),"milk chocolate coating  sugar, milk solids, cocoa butter, cocoa solids, edible vegetable fats  sal fat, palm oil, dextrose, emulsifier ins  centre filling  liquid glucose, peanuts , sugar, hydrogenated vegetable oil palm oil, milk solids, lodized salt, cocoa butter, cocoa solids edible vegetable fats  sal fat, palm oil, dextrose, emulsifier ins  contains vegetable fat in addition to cocoa butter contains peanuts, milk, soy may contain tree nuts",['e322 - lecithins'],Palm oil; Non-vegan; Vegetarian
Britannia bourbon 100g,8901063139336.0,Unknown,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in high quantity (20.3%); Saturated fat in high quantity (10.1%); Sugars in high quantity (38.3%); Salt in low quantity (0.119%),"refined wheat flour maida, sugar , refined palm oil, edible maize starch, colours a, d, , ,, cocoa solids , milk solids, raising agents iiii, nature identicalartificial vanilla, chocolate milkmilky cocoa substances, flavouring emulsifiers   , milk chocolate  emulsifier  and iodised salt numbers in brackets as per international numbering system contains wheat, milk and soya",['e102 - tartrazine; e110 - sunset yellow fcf; e122 - azorubine; e150a - plain caramel; e150d - sulphite ammonia caramel; e322 - lecithins; e500 - sodium carbonates; e503 - ammonium carbonates'],Palm oil; Non-vegan; Vegetarian status unknown
Frooti mango drink - 75,8902579001360.0,Unknown,frooti mango drink,Frooti mango drink,Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA not computed,Food processing level unknown,Eco-Score not computed,Not Available,frooti mango drink produced,,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits - Mayora - 144g,8996001312506.0,Unknown,Mayora,"Snacks, Salty snacks, Sweet snacks, Appetizers, Biscuits and cakes, Biscuits, Crackers, Cream biscuit",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score B,Fat in high quantity (22.8%); Saturated fat in high quantity (15.3%); Sugars in high quantity (32.3%); Salt in moderate quantity (1.36%),"refined wheat flour edible vegetable oil palmolein sugar , whey powder, glucose syrup, milk solids smp, cheese powder cheese, maltodextrin, tapioca starch, leavening agent eii, eii, edible common salt, bakers yeast, malt extract , butter, artificial flavouring substance cheese, emulsifier soy lecithin ei, vitamin premix thiamine mononitrate, riboflavin, pyridoxine hydrochloride, cyanocobalamin, permitted synthetic food colour e, e",['e102 - tartrazine; e110 - sunset yellow fcf; e322 - lecithins; e322i - lecithin; e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e503 - ammonium carbonates; e503ii - ammonium hydrogen carbonate'],Palm oil; Non-vegan; Vegetarian
Bourbon - Britannia - 60g,8901063139374.0,Unknown,Britannia,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in high quantity (20.3%); Saturated fat in high quantity (10.1%); Sugars in high quantity (37%); Salt in low quantity (0.297%),"edible maizi ch, , ,   , cocoa solids , milk souds, raising agents    nature identical  artificial vanilu chocolate milk  milky cocoa flavouing substances, emulsifiers   , mk chocolate  emulsifier  ad iodsed salt",['e322 - lecithins; e500 - sodium carbonates; e503 - ammonium carbonates'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Kurkure Masala Munch 20rs - 78gm,8901491100519.0,Unknown,Kurkure,"Snacks, Salty snacks",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in high quantity (34.6%); Saturated fat in high quantity (15.6%); Sugars in low quantity (1.4%); Salt in high quantity (2.23%),"rice meal , edible vegetable oil palmolein oil, corn meal , spice and condiments onion powder, red chilli powder, amchur powder, coriander seed powder, garlic flakes and powder, ginger powder, black pepper powder, turmeric powder, spice extract, fenugreek, gram meal , salt, sugar, tomato powder , citric acid , dextrose, edible starch",['e330 - citric acid'],Palm oil; Vegan status unknown; Vegetarian
Hrášek 200g - Rakija Djurovic Kruska 2020 - 1l,123456.0,Store,Rakija Djurovic Kruska 2020,"Beverages, Non food products, Open Products Facts",Nutri-Score not-applicable,Not-applicable for the category,NOVA 4,Ultra processed foods,Eco-Score not computed,Not Available,test,,Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Coca cola zero sugar 300ml - 16,8901764111259.0,Unknown,Coca-Cola,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink",Nutri-Score C,Average nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in low quantity (0%); Salt in low quantity (0.0075%),"carbonated water, acidity regulators , , sweeteners , , preservative , caffeine  mg g, colour d, flavours natural flavouring substances",['e100 - curcumin; e150d - sulphite ammonia caramel; e211 - sodium benzoate; e331 - sodium citrates; e338 - phosphoric acid; e950 - acesulfame k; e955 - sucralose'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Munch - nestle - 8.9g,89009802.0,Unknown,Nestle,"Snacks, Salty snacks, Sweet snacks, Appetizers, Cocoa and its products, Chocolates, Crackers",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score B,Fat in high quantity (21.3%); Saturated fat in high quantity (20.8%); Sugars in high quantity (33%); Salt in low quantity (0.236%),"sugar, refined wheat flour maida, hydrogenated vegetable fats contain sesame oil, milk solids, edible vegetable fats, cocoa solids , emulsifier soya lecithin, raising agent  ii, yeast, flour treatment agents  and i and lodized salt contains added flavour artificial vanilla flavouring substances may contain peanuts maha crunch ilicious",['e1101 - protease; e322 - lecithins; e322i - lecithin; e500 - sodium carbonates'],May contain palm oil; Non-vegan; Vegetarian status unknown
2-minute noodles - Maggi,8901058901511.0,Noodles,Maggi,"Plant-based foods and beverages, Plant-based foods, Dried products, Pastas, Dried products to be rehydrated, Noodles, Instant noodles",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"refined wheat flour, palm oil, calcium carbonate, potassium chloride, sodium phosphate, potassium carbonate, sodium carbonate, guar gum",['e412 - guar gum'],Palm oil; Maybe vegan; Vegetarian
Coca cola Soft Drink 750ml,3948764012273.0,Coca cola drink,Coca cola,"Beverages and beverages preparations, Beverages, Carbonated drinks, Sodas, Colas, Cola with sugar and artificial sweetener, Sweetened beverages",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (10.6%); Salt in low quantity (0.0213%),"carbonated water ,sugar, acidity regulator , caffeine  mgg, colour d, flavours natural flavoring substances",['e150d - sulphite ammonia caramel; e338 - phosphoric acid'],Palm oil content unknown; Vegan status unknown; Vegetarian
Quaker oats - 400g,8901491103794.0,Rolled Oats,Quaker,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Rolled oats",Nutri-Score A,Very good nutritional quality,NOVA 1,Unprocessed or minimally processed foods,Eco-Score B,Fat in moderate quantity (9.5%); Saturated fat in moderate quantity (1.9%); Sugars in low quantity (1.8%); Salt in low quantity (0.0238%),traces gluten,,Vegetarian
Amla pickle - Priya - 300g,8904246910012.0,Unknown,Priya,"Plant-based foods and beverages, Plant-based foods, Pickles, Amla pickle, Indian Gooseberry",Nutri-Score E,Bad nutritional quality,NOVA 3,Processed foods,Eco-Score not computed,Fat in moderate quantity (17.1%); Saturated fat in moderate quantity (3.2%); Sugars in low quantity (2.6%); Salt in high quantity (12.8%),"amla berries , refined rice bran oil, tamarind paste tamarind, water, chilli powder, lime juice, mixed spices mustard seeds, dry chillies, acidity regulatoracetic acid, curry leaves and asafoetida",['e260 - acetic acid'],Palm oil free; Vegan status unknown; Vegetarian
Nutri Choice - Britannia Digestive - 100 g,8901063142015.0,Unknown,Britannia Digestive,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",Nutri-Score D,Poor nutritional quality,NOVA 4,Ultra processed foods,Eco-Score C,Fat in high quantity (20.9%); Saturated fat in high quantity (10.4%); Sugars in high quantity (13.1%); Salt in low quantity (0%),"wheat flour , refined palm oil, sugar, wheat bran , liquid glucose, milk solids, maltodextrin, raising agents ins , ins , iodised salt, emulsifiers ins , ins , ins c, malt extract and dough conditioner ins  contains wheat, milk, soya, barley and sulphite",['e223 - sodium metabisulphite; e322 - lecithins; e471 - mono- and diglycerides of fatty acids; e472c - citric acid esters of mono- and diglycerides of fatty acids; e500 - sodium carbonates; e503 - ammonium carbonates'],Palm oil; Non-vegan; Maybe vegetarian
Sprite - 2.25l,8901764032905.0,Sprite,"Sprite, Coca cola","Beverages, Carbonated drinks, Sodas",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (9.8%); Salt in low quantity (0.035%),"carbonated water, sugar, acidity regulators , iii, preservative , sweetener , flavours natural flavouring substances",['e211 - sodium benzoate; e330 - citric acid; e331 - sodium citrates; e960 - steviol glycosides'],Palm oil content unknown; Vegan status unknown; Vegetarian status unknown
Veg Atta Masala Noodles - Maggi - 290 g,8901058902839.0,Unknown,Maggi,"Plant-based foods and beverages, Plant-based foods, Dried products, Pastas, Dried products to be rehydrated, Noodles, Instant noodles",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"wheat flour atta , palm oil, lodised salt, thickeners , , humectants , i and acidity regulators i,  i,mixed spices ,, roasted spice mix powder  coriander, turmeric, cumin, aniseed, black pepper, fenugreek, ginger, green cardamom, cinnamon, clove, nutmeg, bay leaf  black cardamom, onion powder, garlic powder, red chilli powder, red chilli bib, coriander powder, turmeric powder, ginger powder, aniseed powder, black pepper powder, cumin powder, cumin, fenugreek powder, capsicum extract, compounded asafoetida, star anise powder, coriander extract  cumin extract dehydrated vegetables  carrot bits   green peas , toasted onion flakes onion   corn oil, refined wheat flour maida, sugar, lodised salt, toasted onion powder onion   corn oil, thickener , palm oil, flavour enhancer , yeast extract powder, dehyciated kasuri methi leaves starch, acidity regulator , mineral and wheat gluten contains wheat may contains milk oats and soy","[""e330 - citric acid; e412 - guar gum; e451 - triphosphates; e452 - polyphosphates; e500 - sodium carbonates; e501 - potassium carbonates; e508 - potassium chloride; e635 - disodium 5'-ribonucleotide""]",Palm oil; Vegan status unknown; Vegetarian status unknown
50 50 Gol Maal - Britannia,8901063017702.0,Unknown,Britannia,"Snacks, Sweet snacks, Confectioneries, Bars, Biscuits and cakes, Biscuits",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score D,Fat in high quantity (23.2%); Saturated fat in high quantity (11.2%); Sugars in high quantity (21.8%); Salt in moderate quantity (1.15%),"refined wheat flour maida, refined palm  palmolein oil, sugar , raising agents ii, ii  i, cumin black kalonji , iodised salt, invert sugar syrup, milk solids, emulsifiers   , nature identical flavouring substances, dough conditioner , improver i and colour",['e102 - tartrazine; e1101 - protease; e223 - sodium metabisulphite; e322 - lecithins; e341 - calcium phosphates; e500 - sodium carbonates; e503 - ammonium carbonates'],Palm oil; Non-vegan; Vegetarian
Maggi 2-Minute Noodles - Nestlé - 280 g,8901058901559.0,Unknown,"Nestlé, Maggi","Plant-based foods and beverages, Plant-based foods, Dried products, Pastas, Dried products to be rehydrated, Noodles, Instant noodles",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score C,Not Available,"noodles refined wheat flour maida, palm oil, lodised salt, wheat gluten, thickeners   , acidity regulators i   i and humectant i masala tastemaker mixed spices  onion powder, coriander powder, turmeric powder, red chilli powder, garlic powder, cumin powder, aniseed powder, ginger powder, fenugreek powder, black pepper powder, clove powder, green cardamom powder  nutmeg powder, refined wheat flour maida, hydrolysed groundnut protein, sugar, palm oil, lodised salt, starch, thickener , flavour enhancer , toasted onion flakes, acidity regulator , mineral, colour d and wheat gluten contain wheat and nut may contains milk, mustard, oats and soy","[""e150d - sulphite ammonia caramel; e330 - citric acid; e412 - guar gum; e451 - triphosphates; e500 - sodium carbonates; e501 - potassium carbonates; e508 - potassium chloride; e635 - disodium 5'-ribonucleotide""]",Palm oil; Vegan status unknown; Vegetarian status unknown
Classic Malt - Horlicks - 500 g,8901030807176.0,Unknown,Horlicks,"Beverages and beverages preparations, Beverages, Beverage preparations, Instant beverages, Sweetened beverages, Malt based beverages",Nutri-Score unknown,Missing data to compute the Nutri-Score,NOVA 4,Ultra processed foods,Eco-Score not computed,Fat in moderate quantity (2%); Saturated fat in moderate quantity (1.4%); Sugars in high quantity (46%); Salt in high quantity (1%),"malt  barley , wheat flour atta, wheat, millet, milk solids , sugar, wheat gluten, minerals, edible lodized salt, soy protein isolate, acidity regulators ins ii, ii, vitamins allergen information contains wheat, barley, milk  soy",['e500 - sodium carbonates; e500ii - sodium hydrogen carbonate; e501 - potassium carbonates'],Palm oil content unknown; Non-vegan; Vegetarian
Thums up - 250 ml,8901764042911.0,Unknown,Thums up,"Beverages, Carbonated drinks, Waters, Sodas, Carbonated waters, Colas, Sweetened beverages",Nutri-Score E,Bad nutritional quality,NOVA 4,Ultra processed foods,Eco-Score not yet applicable,Fat in low quantity (0%); Saturated fat in low quantity (0%); Sugars in high quantity (9.5%); Salt in low quantity (0.055%),"carbonated water, sugar, acidity regulator , caffeine  mg g, sweetener  colour  d, flavours natural, natureidentical  artificial cola flavoring substances",['e100 - curcumin; e150 - caramel; e338 - phosphoric acid'],Palm oil content unknown; Vegan status unknown; Vegetarian
